Kanji;Kana;Romaji;Translation;Part of Speech
知事;ちじ;chiji;prefectural governor;Noun
地下;ちか;chika;basement, cellar;Noun, Noun which may take the genitive case particle 'no'
近頃;ちかごろ;chikagoro;lately, recently;Adverb (fukushi), Noun, Noun which may take the genitive case particle 'no'
近道;ちかみち;chikamichi;short way, shortcut​;Noun, Suru verb, Intransitive verb
力強い;ちからづよい;chikarazuyoi;powerful, strong;I-adjective (keiyoushi)
遅刻;ちこく;chikoku;lateness, late coming;Noun, Suru verb, Intransitive verb
地区;ちく;chiku;district, section, sector;Noun
地球;ちきゅう;chikyuu;the earth, the globe;Noun
知能;ちのう;chinou;intelligence, brain;Noun
知識;ちしき;chishiki;knowledge, information;Noun
貯金;ちょきん;chokin;savings;Noun, Suru verb
直接;ちょくせつ;chokusetsu;direct, immediate;Na-adjective (keiyodoshi), Noun, Noun which may take the genitive case particle 'no', Adverb (fukushi)
著者;ちょしゃ;chosha;author, writer;Noun
頂上;ちょうじょう;choujou;top, summit, peak;Noun, Noun which may take the genitive case particle 'no'
長期;ちょうき;chouki;long-term;Noun which may take the genitive case particle 'no', Noun
調査;ちょうさ;chousa;investigation, examination;Noun, Suru verb, Transitive verb
調子;ちょうし;choushi;tone, condition, health;Noun
長所;ちょうしょ;chousho;strong point, merit, virtue;Noun
朝食;ちょうしょく;choushoku;breakfast;Noun
中学;ちゅうがく;chuugaku;middle school;Noun
中間;ちゅうかん;chuukan;middle, midway, center;Noun
中古;ちゅうこ;chuuko;used, second-hand;Noun which may take the genitive case particle 'no'
注目;ちゅうもく;chuumoku;notice, attention;Noun, Suru verb, Transitive verb, Intransitive verb
注文;ちゅうもん;chuumon;order, request;Noun, Suru verb, Transitive verb
駐車;ちゅうしゃ;chuusha;parking;Noun, Suru verb, Intransitive verb
中止;ちゅうし;chuushi;suspension, stoppage;Noun, Suru verb, Transitive verb
中心;ちゅうしん;chuushin;center, middle, core;Noun, Noun which may take the genitive case particle 'no'
中心地;ちゅうしんち;chuushinchi;center, metropolis​;Noun
昼食;ちゅうしょく;chuushoku;lunch, midday meal;Noun
中央;ちゅうおう;chuuou;centre, middle;Noun, Noun which may take the genitive case particle 'no'
代;よ;dai;cost, price​, generation;Noun
大部分;だいぶぶん;daibubun;most part, majority;Noun
代表;だいひょう;daihyou;representative;Noun, Suru verb, Transitive verb
代表者;だいひょうしゃ;daihyousha;representative, delegate​;Noun
大臣;だいじん;daijin;cabinet minister;Noun
代金;だいきん;daikin;price, payment, cost;Noun
代理;だいり;dairi;representation, agency;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no'
大成功;だいせいこう;daiseikou;huge success​;Noun
大小;だいしょう;daishou;sizes (various), large and small​;Noun
大都会;だいとかい;daitokai;metropolis, big city​;Noun
大統領;だいとうりょう;daitouryou;president, chief executive;Noun
黙る;だまる;damaru;to be silent;Godan verb with 'ru' ending, Intransitive verb
段;だん;dan;steps, stair, grade, rank;Noun, Counter
男女;だんじょ;danjo;men and women, both genders;Noun
男子;だんし;danshi;youth, young man;Noun
団体;だんたい;dantai;organization, association;Noun
出会い;であい;deai;meeting, encounter;Noun
出会う;であう;deau;to meet (by chance);Godan verb with 'u' ending, Intransitive verb
出来事;できごと;dekigoto;incident, affair;Noun
電池;でんち;denchi;battery, cell​;Noun
伝言;でんごん;dengon;verbal message;Noun, Suru verb, Transitive verb
電球;でんきゅう;denkyuu;light bulb;Noun
電子;でんし;denshi;electron;Noun
電子レンジ;でんしレンジ;denshi renji;microwave oven;Noun
伝統;でんとう;dentou;tradition, convention;Noun
度;ど;do;degree, counter for occurrences​;Noun, Noun, used as a suffix, Counter
毒;どく;doku;poison, toxicant;Noun
独立;どくりつ;dokuritsu;independence;Noun, Suru verb, Intransitive verb
独身;どくしん;dokushin;single, unmarried;Noun which may take the genitive case particle 'no', Noun
読書;どくしょ;dokusho;reading;Noun, Suru verb, Intransitive verb
独特;どくとく;dokutoku;peculiarity, uniqueness;Noun, Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi)
泥;どろ;doro;mud, dirt;Noun
努力;どりょく;doryoku;great effort, exertion;Noun, Suru verb, Intransitive verb
同一;どういつ;douitsu;identical, same;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi)
当時;とうじ;touji;at that time, in those days;Noun, Adverb (fukushi)
同時;どうじ;douji;simultaneous, concurrent;Noun
銅貨;どうか;douka;copper coin;Noun
同級生;どうきゅうせい;doukyuusei;classmate;Noun
道路;どうろ;douro;road, highway;Noun
同僚;どうりょう;douryou;coworker, colleague;Noun
動詞;どうし;doushi;verb;Noun
道徳;どうとく;doutoku;morals;Noun
同様;どうよう;douyou;identical, same;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun, Noun, used as a suffix
柄;がら;e;handle, grip;Noun, Noun, used as a suffix
描く;えがく;egaku;to draw, to paint;Godan verb with 'ku' ending, Transitive verb
笑顔;えがお;egao;smiling face;Noun
永遠;えいえん;eien;eternity;Noun, Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi)
営業;えいぎょう;eigyou;business, trade;Noun, Suru verb, Transitive verb
影響;えいきょう;eikyou;influence, effect;Noun, Suru verb, Intransitive verb
永久;えいきゅう;eikyuu;eternity;Noun, Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no'
衛星;えいせい;eisei;satellite;Noun
栄養;えいよう;eiyou;nutrition, nourishment;Noun
円;えん;en;Japanese money unit;Noun
演技;えんぎ;engi;acting, performance;Noun, Suru verb, Intransitive verb
援助;えんじょ;enjo;assistance, aid;Noun, Suru verb, Transitive verb
延期;えんき;enki;postponement;Noun, Suru verb, Transitive verb
遠足;えんそく;ensoku;excursion, outing, trip​;Noun, Suru verb, Intransitive verb
演奏;えんそう;ensou;musical performance;Noun, Suru verb, Transitive verb
演説;えんぜつ;enzetsu;speech, address;Noun, Suru verb, Intransitive verb
得る;える;eru;to get, to gain, to acquire;Ichidan verb, Transitive verb
餌;えさ;esa;feed, bait;Noun
不安;ふあん;fuan;anxiety, uneasiness;Noun, Na-adjective (keiyodoshi)
縁;ふち;fuchi;rim, edge, brink;Noun
普段;ふだん;fudan;usual, habitual;Noun which may take the genitive case particle 'no', Noun
筆;ふで;fude;writing brush;Noun
笛;ふえ;fue;flute, pipe;Noun
不平;ふへい;fuhei;complaint, dissatisfaction;Noun, Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi)
夫人;ふじん;fujin;wife, madam;Noun
婦人;ふじん;fujin;woman, lady, adult female;Noun
不自由;ふじゆう;fujiyuu;discomfort, inconvenience;Noun, Na-adjective (keiyodoshi), Suru verb
不可;ふか;fuka;wrong, bad, improper;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun, Noun, used as a suffix
不可能;ふかのう;fukanou;impossible;Na-adjective (keiyodoshi), Noun
不幸;ふこう;fukou;unhappiness, sorrow;Noun, Na-adjective (keiyodoshi)
含む;ふくむ;fukumu;to contain, to comprise;Godan verb with 'mu' ending, Transitive verb
袋;ふくろ;fukuro;bag, sack;Noun
服装;ふくそう;fukusou;garments, attire;Noun
不満;ふまん;fuman;dissatisfaction, displeasure;Noun, Na-adjective (keiyodoshi)
雰囲気;ふんいき;fun’iki;atmosphere;Noun
触れる;ふれる;fureru;to touch, to feel;Ichidan verb, Intransitive verb
不利;ふり;furi;disadvantage, handicap;Noun, Na-adjective (keiyodoshi)
振る;ふる;furu;to wave, to shake;Godan verb with 'ru' ending, Transitive verb
震える;ふるえる;furueru;to shiver, to shake;Ichidan verb, Intransitive verb
防ぐ;ふせぐ;fusegu;to defend, to protect;Godan verb with 'gu' ending, Transitive verb
不正;ふせい;fusei;injustice, unfairness;Noun, Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no'
節;ふし;fushi;joint, knuckle, tune;Noun
不思議;ふしぎ;fushigi;wonder, miracle, strange;Na-adjective (keiyodoshi), Noun
不足;ふそく;fusoku;insufficiency;Noun, Suru verb, Intransitive verb, Na-adjective (keiyodoshi)
双子;ふたご;futago;twins;Noun
沸騰;ふっとう;futtou;boiling, becoming heated;Noun, Suru verb, Intransitive verb
夫婦;ふうふ;fuufu;married couple, spouses;Noun
風景;ふうけい;fuukei;scenery, landscape;Noun, Noun which may take the genitive case particle 'no'
不要;ふよう;fuyou;unnecessary, unneeded;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun
不用;ふよう;fuyou;disused, unused;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun
不用品;ふようひん;fuyouhin;disused article​;Noun
害;がい;gai;injury, harm, damage;Noun
外国語;がいこくご;gaikokugo;foreign language​;Noun
外国産;がいこくさん;gaikokusan;of foreign manufacture​;Noun which may take the genitive case particle 'no'
外交;がいこう;gaikou;diplomacy;Noun
外食;がいしょく;gaishoku;eating out, dining out​;Noun, Suru verb, Intransitive verb
外出;がいしゅつ;gaishutsu;going out;Noun, Suru verb, Intransitive verb
画家;がか;gaka;painter, artist;Noun
学期;がっき;gakki;school term;Noun
楽器;がっき;gakki;musical instrument​;Noun, Noun which may take the genitive case particle 'no'
学;がく;gaku;learning, scholarship;Noun
学部;がくぶ;gakubu;department of a university​;Noun
学問;がくもん;gakumon;learning, study;Noun, Suru verb, Intransitive verb
学者;がくしゃ;gakusha;scholar;Noun
学習;がくしゅう;gakushuu;study, learning;Noun, Suru verb, Transitive verb
画面;がめん;gamen;terminal screen;Noun
柄;がら;gara;pattern, design;Noun, Noun, used as a suffix
芸術;げいじゅつ;geijutsu;art, the arts;Noun
外科;げか;geka;surgery, department of surgery;Noun
劇;げき;geki;drama, play;Noun
劇場;げきじょう;gekijou;theater;Noun
現場;げんば;genba;actual spot, scene;Noun
現代;げんだい;gendai;nowadays, modern era;Noun, Noun which may take the genitive case particle 'no'
言語;げんご;gengo;language;Noun
現実;げんじつ;genjitsu;reality, actuality;Noun
現状;げんじょう;genjou;present condition;Noun, Noun which may take the genitive case particle 'no'
限界;げんかい;genkai;limit, bound;Noun, Noun which may take the genitive case particle 'no'
現金;げんきん;genkin;cash, ready money;Noun
現象;げんしょう;genshou;phenomenon;Noun
減少;げんしょう;genshou;decrease, decline;Noun, Suru verb, Transitive verb, Intransitive verb, Noun which may take the genitive case particle 'no'
現在;げんざい;genzai;now, current;Noun, Adverb (fukushi), Noun which may take the genitive case particle 'no'
議長;ぎちょう;gichou;chairman;Noun
議員;ぎいん;giin;member of the Diet;Noun
議会;ぎかい;gikai;congress, parliament;Noun
疑問;ぎもん;gimon;question, doubt;Noun
義務;ぎむ;gimu;duty, obligation;Noun
銀;ぎん;gin;silver;Noun
議論;ぎろん;giron;argument, discussion;Noun, Suru verb, Transitive verb
技師;ぎし;gishi;engineer, technician;Noun
語;ご;go;language;Noun, Noun, used as a suffix, Counter
語学;ごがく;gogaku;language study;Noun
豪華;ごうか;gouka;wonderful, gorgeous;Na-adjective (keiyodoshi), Noun
誤解;ごかい;gokai;misunderstanding;Noun, Suru verb, Transitive verb, Intransitive verb
極;きょく;goku;quite, very;Noun
塵;ゴミ;gomi;rubbish, trash;Noun
合格;ごうかく;goukaku;passing (exam), success;Noun, Suru verb, Intransitive verb
合計;ごうけい;goukei;total amount;Noun, Suru verb, Transitive verb
強盗;ごうとう;goutou;robber, mugger;Noun
軍;ぐん;gun;army, troop;Noun
軍隊;ぐんたい;guntai;armed forces;Noun
具体;ぐたい;gutai;concrete, tangible;Noun
偶然;ぐうぜん;guuzen;by chance, unexpectedly;Noun, Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no'
逆;ぎゃく;gyaku;reverse, opposite;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun
行儀;ぎょうぎ;gyougi;manners, behavior;Noun
幅;はば;haba;width, breadth;Noun
省く;はぶく;habuku;to omit, to leave out;Godan verb with 'ku' ending, Transitive verb
肌;はだ;hada;skin;Noun
裸;はだか;hadaka;naked, nude;Noun, Noun which may take the genitive case particle 'no'
派手;はで;hade;showy, flashy;Na-adjective (keiyodoshi), Noun
生える;はえる;haeru;to grow, to spring up;Ichidan verb, Intransitive verb
激しい;はげしい;hageshii;violent, furious;I-adjective (keiyoushi)
母親;ははおや;hahaoya;mother;Noun
灰;はい;hai;ashes;Noun
掃く;はく;haku;to sweep, to brush;Godan verb with 'ku' ending, Transitive verb
歯磨き;はみがき;hamigaki;brushing one’s teeth​;Noun, Suru verb, Intransitive verb
配送;はいそう;haisou;delivery;Noun, Suru verb, Transitive verb
配達;はいたつ;haitatsu;delivery, distribution;Noun, Suru verb, Transitive verb
俳優;はいゆう;haiyuu;actor, actress;Noun
始まり;はじまり;hajimari;origin, beginning;Noun
墓;はか;haka;grave, tomb;Noun
計る;はかる;hakaru;to measure, to weigh;Godan verb with 'ru' ending, Transitive verb
博士;はかせ;hakase;doctorate;Noun
発見;はっけん;hakken;discovery, finding;Noun, Suru verb, Transitive verb
発行;はっこう;hakkou;issue, publishing;Noun, Suru verb, Transitive verb
履く;はく;haku;to wear, to put on;Godan verb with 'ku' ending, Transitive verb
吐く;はく;haku;to vomit, to throw up;Godan verb with 'ku' ending, Transitive verb
博物館;はくぶつかん;hakubutsukan;museum;Noun
拍手;はくしゅ;hakushu;applause;Noun, Suru verb, Intransitive verb
花火;はなび;hanabi;fireworks;Noun
離れる;はなれる;hanareru;to be separated;Ichidan verb, Intransitive verb
話し合う;はなしあう;hanashiau;to discuss;Godan verb with 'u' ending, Transitive verb
話しかける;はなしかける;hanashikakeru;to start a conversation;Ichidan verb, Transitive verb
離す;はなす;hanasu;to separate, to part;Godan verb with 'su' ending, Transitive verb
放す;はなす;hanasu;to release, to let go;Godan verb with 'su' ending, Transitive verb
花束;はなたば;hanataba;bunch of flowers, bouquet​;Noun
花屋;はなや;hanaya;florist, flower shop​;Noun
羽;はね;hane;feather, down;Noun
販売;はんばい;hanbai;sales, selling;Noun, Suru verb, Transitive verb
判断;はんだん;handan;judgment, decision;Noun, Suru verb, Transitive verb
範囲;はんい;han’i;range, scope, extent;Noun
反抗;はんこう;hankou;opposition, resistance;Noun, Suru verb, Intransitive verb
犯人;はんにん;hannin;offender, criminal;Noun
半年;はんとし;hantoshi;half year​;Noun, Adverb (fukushi)
犯罪;はんざい;hanzai;crime, offense;Noun
発表;はっぴょう;happyou;announcement;Noun, Suru verb, Transitive verb
腹;はら;hara;abdomen, stomach;Noun
原;はら;hara;field, plain;Noun
針;はり;hari;needle, pin;Noun
鋏;はさみ;hasami;scissors;Noun
破産;はさん;hasan;bankruptcy;Noun, Suru verb, Intransitive verb
端;はし;hashi;end, edge;Noun
発車;はっしゃ;hassha;departure of a vehicle;Noun, Suru verb, Intransitive verb
発生;はっせい;hassei;outbreak, occurrence;Noun, Suru verb, Intransitive verb
旗;はた;hata;flag;Noun
畑;はたけ;hatake;field;Noun
働き;はたらき;hataraki;work, labor;Noun
発達;はったつ;hattatsu;development, growth;Noun, Suru verb, Intransitive verb
発展;はってん;hatten;development, growth;Noun, Suru verb, Intransitive verb
発売;はつばい;hatsubai;sale, launch (product)​;Noun, Suru verb, Transitive verb
発明;はつめい;hatsumei;invention;Noun, Suru verb, Transitive verb
早めに;はやめに;hayame ni;ahead of time;Adverb (fukushi)
外す;はずす;hazusu;to undo, to remove;Godan verb with 'su' ending, Transitive verb
塀;へい;hei;wall, fence;Noun
平方メートル;へいほうメートル;heihou meetoru;square meter​;Noun
平日;へいじつ;heijitsu;weekday, ordinary days;Adverb (fukushi), Noun
平均;へいきん;heikin;average, mean;Noun, Suru verb, Transitive verb
平和;へいわ;heiwa;peace, harmony;Noun, Na-adjective (keiyodoshi)
変化;へんか;henka;change, alteration;Noun, Suru verb, Intransitive verb
変更;へんこう;henkou;change, modification;Noun, Suru verb, Transitive verb
返却;へんきゃく;henkyaku;return of something, repayment​;Noun, Suru verb, Transitive verb
減らす;へらす;herasu;to abate, to decrease;Godan verb with 'su' ending, Transitive verb
減る;へる;heru;to decrease, to diminish;Godan verb with 'ru' ending, Intransitive verb
費;ひ;hi;cost, expense​;Noun, used as a suffix
冷える;ひえる;hieru;to grow cold, to get chilly;Ichidan verb, Intransitive verb
被害;ひがい;higai;(suffering) damage, harm;Noun
悲劇;ひげき;higeki;tragedy;Noun
批判;ひはん;hihan;criticism, judgment;Noun, Suru verb, Transitive verb
批評;ひひょう;hihyou;criticism, review;Noun, Suru verb, Transitive verb
非常;ひじょう;hijou;emergency, extraordinary;Noun
比較;ひかく;hikaku;comparison;Noun, Suru verb, Transitive verb
引き受ける;ひきうける;hikiukeru;to undertake, to accept;Ichidan verb, Transitive verb
飛行;ひこう;hikou;aviation, flight;Noun, Suru verb, Intransitive verb
轢く;ひく;hiku;to run over (with a vehicle);Godan verb with 'ku' ending, Transitive verb
秘密;ひみつ;himitsu;secret, secrecy;Noun, Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no'
紐;ひも;himo;string, cord;Noun
引っ張る;ひっぱる;hipparu;to pull, to draw;Godan verb with 'ru' ending, Transitive verb
広がる;ひろがる;hirogaru;to spread out, to extend;Godan verb with 'ru' ending, Intransitive verb
昼寝;ひるね;hirune;nap (afternoon), siesta​;Noun, Suru verb, Intransitive verb
必死;ひっし;hisshi;frantic, desperate;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no'
額;がく, ひたい;gaku, hitai;forehead, brow;Noun;сумма, количество, картина ,лоб
否定;ひてい;hitei;negation, denial;Noun, Suru verb, Transitive verb
人々;ひとびと;hitobito;people, men and women;Noun;люди, народ
人込み;ひとごみ;hitogomi;crowd of people;Noun
一言;ひとこと;hitokoto;single word, a few words;Noun, Suru verb, Transitive verb, Intransitive verb
一人暮らし;ひとりぐらし;hitorigurashi;living by oneself, living alone​;Noun
等しい;ひとしい;hitoshii;equal;I-adjective (keiyoushi)
費用;ひよう;hiyou;cost, expense;Noun
膝;ひざ;hiza;knee, lap;Noun
日付;ひづけ;hizuke;date;Noun
略;ほぼ;hobo;almost, roughly;Adverb (fukushi)
歩道;ほどう;hodou;footpath, walkway;Noun
吠える;ほえる;hoeru;to bark, to howl;Ichidan verb, Intransitive verb
微笑む;ほほえむ;hohoemu;to smile;Godan verb with 'mu' ending, Intransitive verb
誇り;ほこり;hokori;pride, boast;Noun
埃;ほこり;hokori;dust;Noun
歩行者;ほこうしゃ;hokousha;pedestrian, walker​;Noun
骨;ほね;hone;bone;Noun
本気;ほんき;honki;seriousness, earnestness, truth;Noun, Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi)
本物;ほんもの;honmono;genuine article;Noun, Noun which may take the genitive case particle 'no'
本人;ほんにん;honnin;the person himself;Noun
炎;ほのお;honoo;flame, blaze;Noun
本屋;ほんや;hon’ya;bookstore, bookshop​;Noun
頬;ほお;hoo;cheek (of face);Noun
掘る;ほる;horu;to dig, to excavate;Godan verb with 'ru' ending, Transitive verb
保証;ほしょう;hoshou;guarantee, security;Noun, Suru verb, Transitive verb
干す;ほす;hosu;to dry, to drink up;Godan verb with 'su' ending, Transitive verb
保存;ほぞん;hozon;preservation, conservation;Noun, Suru verb, Transitive verb
方;ほう;hou;direction, way, side;Noun
法;ほう;hou;law, act, principle;Noun, Noun, used as a suffix
放題;ほうだい;houdai;to one’s heart’s content;Suffix
豊富;ほうふ;houfu;abundance, wealth;Na-adjective (keiyodoshi), Noun
方法;ほうほう;houhou;method, way, manner;Noun
報告;ほうこく;houkoku;report, information;Noun, Suru verb, Transitive verb
方向;ほうこう;houkou;direction, way;Noun
訪問;ほうもん;houmon;call, visit;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no'
宝石;ほうせき;houseki;gem, jewel;Noun
放送;ほうそう;housou;broadcast, broadcasting;Noun, Suru verb, Transitive verb
表;ひょう;hyou;table, chart, list;Noun
評判;ひょうばん;hyouban;fame, reputation;Noun, Noun which may take the genitive case particle 'no'
表現;ひょうげん;hyougen;expression, representation;Noun, Suru verb, Transitive verb
表情;ひょうじょう;hyoujou;facial expression;Noun
評価;ひょうか;hyouka;valuation, estimation;Noun, Suru verb, Transitive verb
表面;ひょうめん;hyoumen;surface, face;Noun, Noun which may take the genitive case particle 'no'
胃;い;i;stomach;Noun
一致;いっち;icchi;match, agreement;Noun, Suru verb, Intransitive verb
位置;いち;ichi;place, position;Noun, Suru verb, Intransitive verb
市場;いちば;ichiba;market, the market place;Noun
一部;いちぶ;ichibu;one part, one portion;Noun, Adverb (fukushi)
一度に;いちどに;ichido ni;all at once;Adverb (fukushi)
一時;いちじ;ichiji;time, moment;Noun
一応;いちおう;ichiou;just in case​, pretty much;Noun, Noun which may take the genitive case particle 'no', Adverb (fukushi)
一流;いちりゅう;ichiryuu;first-class, top grade;Noun which may take the genitive case particle 'no', Noun
偉大;いだい;idai;greatness;Na-adjective (keiyodoshi)
抱く;いだく;idaku;to embrace;Godan verb with 'ku' ending, Transitive verb
移動;いどう;idou;movement, transfer;Noun, Suru verb, Transitive verb, Intransitive verb
衣服;いふく;ifuku;clothes;Noun
意外;いがい;igai;unexpected, surprising;Na-adjective (keiyodoshi), Adverb taking the 'to' particle, Noun
違反;いはん;ihan;violence, offense;Noun, Suru verb, Intransitive verb
委員;いいん;iin;committee member;Noun
維持;いじ;iji;maintenance, preservation;Noun, Suru verb, Transitive verb
異常;いじょう;ijou;strangeness, abnormality;Na-adjective (keiyodoshi), Noun
一家;いっか;ikka;a house, a home;Noun
息;いき;iki;breath;Noun
生き物;いきもの;ikimono;living thing, animal;Noun
勢い;いきおい;ikioi;force, vigor, energy;Noun
以降;いこう;ikou;hereafter, since;Noun, Adverb (fukushi)
居間;いま;ima;living room;Noun
今に;いまに;ima ni;before long, even now;Adverb (fukushi)
今にも;いまにも;ima ni mo;at any time, soon;Adverb (fukushi)
稲;いね;ine;rice-plant;Noun
居眠り;いねむり;inemuri;nodding off, dozing;Noun, Suru verb, Intransitive verb
命;いのち;inochi;life, life force;Noun
飲料;いんりょう;inryou;beverage, drink​;Noun
印刷;いんさつ;insatsu;printing;Noun, Suru verb, Transitive verb
飲食;いんしょく;inshoku;food and drink, eating and drinking​;Noun, Suru verb, Transitive verb, Intransitive verb
